SourceFile,FileName,Directory,Title,Description,Creator,Rating,DateTimeOriginal,CreateDate,MediaCreateDate,ImageSize,ImageWidth,ImageHeight,Make,Model,ShutterSpeed,ExposureTime,Aperture,FNumber,FocalLength,Lens,LensModel,ISO,GPSLatitude,GPSLongitude,GPSAltitude,City,State,Country
C:/Program Files/Ampps/Media Display/Bear at the Birdfeeder-2025-06-19-21-46-19-photos_db_sized_video-1.mp4,Bear at the Birdfeeder-2025-06-19-21-46-19-photos_db_sized_video-1.mp4,C:/Program Files/Ampps/Media Display,,,,,,2025:11:28 17:27:29-05:00,2025:11:28 22:27:30,1280x720,1280,720,,,,,,,,,,,,,,,,
C:/Program Files/Ampps/Media Display/Bird's Eye View of Bohemian Lavender Farm_DJI_20250713134902_0441_D-HDR-2_photos_db_sized_photo_13.png,Bird's Eye View of Bohemian Lavender Farm_DJI_20250713134902_0441_D-HDR-2_photos_db_sized_photo_13.png,C:/Program Files/Ampps/Media Display,Bird's Eye View of Bohemian Lavender Farm,Bird's Eye picture of Bohemian Lavender Farm,Scott Short,,,,,1600x1200,1600,1200,,,,,,,,,,,,,,Maple City,Michigan,United States
C:/Program Files/Ampps/Media Display/Bird's Eye View of Manistee_DJI_20250628172944_0726_D-HDR_photos_db_sized_photo_11.png,Bird's Eye View of Manistee_DJI_20250628172944_0726_D-HDR_photos_db_sized_photo_11.png,C:/Program Files/Ampps/Media Display,Bird's Eye View of Manistee,Bird's Eye picture of Manistee,Scott Short,5,,,,1600x1200,1600,1200,,,,,,,,,,,,,,Manistee,Michigan,United States
C:/Program Files/Ampps/Media Display/Bird's Eye View of the Neighborhood_DJI_20250622150721_0379_D-HDR_photos_db_sized_photo_10.png,Bird's Eye View of the Neighborhood_DJI_20250622150721_0379_D-HDR_photos_db_sized_photo_10.png,C:/Program Files/Ampps/Media Display,Bird's Eye View of the Neighborhood,Bird's Eye picture of the neighborhood.,Scott Short,,,,,1600x1200,1600,1200,,,,,,,,,,,,,,Beulah,Michigan,United States
C:/Program Files/Ampps/Media Display/Blood Moon Closeup_P3140252-Enhanced-SR_photos_db_sized_photo_1.png,Blood Moon Closeup_P3140252-Enhanced-SR_photos_db_sized_photo_1.png,C:/Program Files/Ampps/Media Display,Blood Moon Closeup,"Closeup of the Blood Moon that occured on March 14th, 2025",Scott Short,,2025:03:14 02:02:31-05:00,2025:03:14 02:02:31-05:00,,1600x1280,1600,1280,OM Digital Solutions,OM-5,4,4,6.3,6.3,400.0 mm,OLYMPUS M.100-400mm F5.0-6.3,,200,,,,,,
C:/Program Files/Ampps/Media Display/Blood Moon_DJI_20250908205852_0722_D_photos_db_sized_photo_33.png,Blood Moon_DJI_20250908205852_0722_D_photos_db_sized_photo_33.png,C:/Program Files/Ampps/Media Display,Blood Moon,"Picture of the blood moon on September 8th, 2025.",Scott Short,,,,,1600x1200,1600,1200,,,,,,,,,,,,,,,,
C:/Program Files/Ampps/Media Display/Brendan Playing with Tater at the Sandbar-DJI_20250807180534_0565_D-photos_db_sized_video-10.mp4,Brendan Playing with Tater at the Sandbar-DJI_20250807180534_0565_D-photos_db_sized_video-10.mp4,C:/Program Files/Ampps/Media Display,,,,,,2025:11:28 18:15:20-05:00,2025:11:28 23:15:25,1920x1080,1920,1080,,,,,,,,,,,,,,,,
C:/Program Files/Ampps/Media Display/Bricks Classic Car Show Flyover-DJI_20250607161031_0356_D-photos_db_sized_video-6.mp4,Bricks Classic Car Show Flyover-DJI_20250607161031_0356_D-photos_db_sized_video-6.mp4,C:/Program Files/Ampps/Media Display,,,,,,2025:11:28 17:35:09-05:00,2025:11:28 22:35:14,1920x1080,1920,1080,,,,,,,,,,,,,,,,
C:/Program Files/Ampps/Media Display/Bumble Bee Sampling Lavender_P7132118_photos_db_sized_photo_12.png,Bumble Bee Sampling Lavender_P7132118_photos_db_sized_photo_12.png,C:/Program Files/Ampps/Media Display,Bumble Bee Sampling Lavender,Picture of a bumblebee on lavender flowers.,Scott Short,,,,,1600x1200,1600,1200,,,,,,,,,,,,,,Maple City,Michigan,United States
C:/Program Files/Ampps/Media Display/Classic Ford Mustang_P9130783_photos_db_sized_photo_34.png,Classic Ford Mustang_P9130783_photos_db_sized_photo_34.png,C:/Program Files/Ampps/Media Display,Classic Ford Mustang,Picture of Bill Short's Classic Ford Mustang.,Scott Short,,,,,1600x1200,1600,1200,,,,,,,,,,,,,,Midland,Michigan,United States
C:/Program Files/Ampps/Media Display/Closeup Cardinal In Winter_P3160548_photos_db_sized_photo_2.png,Closeup Cardinal In Winter_P3160548_photos_db_sized_photo_2.png,C:/Program Files/Ampps/Media Display,Closeup Cardinal In Winter,Closeup of male cardinal at the bird feeder in winter.,Scott Short,,2025:03:16 11:47:54-05:00,2025:03:16 11:47:54-05:00,,1600x1200,1600,1200,OM Digital Solutions,OM-5,1/3200,1/3200,6.3,6.3,400.0 mm,OLYMPUS M.100-400mm F5.0-6.3,OLYMPUS M.100-400mm F5.0-6.3,2500,,,,Beulah,Michigan,United States
C:/Program Files/Ampps/Media Display/Closeup of Herron at Arcadia Marsh 2_P8300146_photos_db_sized_photo_25.png,Closeup of Herron at Arcadia Marsh 2_P8300146_photos_db_sized_photo_25.png,C:/Program Files/Ampps/Media Display,Closeup of Herron at Arcadia Marsh 2,Another closeup image of a herron at Arcadia Marsh.,Scott Short,,,,,1600x1200,1600,1200,,,,,,,,,,,,,,Arcadia,Michigan,United States
C:/Program Files/Ampps/Media Display/Closeup of Herron at Arcadia Marsh_P8300141_photos_db_sized_photo_24.png,Closeup of Herron at Arcadia Marsh_P8300141_photos_db_sized_photo_24.png,C:/Program Files/Ampps/Media Display,Closeup of Herron at Arcadia Marsh,Closeup image of a herron at Arcadia Marsh,,,,,,1600x1200,1600,1200,,,,,,,,,,,,,,Arcadia,Michigan,United States
C:/Program Files/Ampps/Media Display/Coleus Flowers_P6221910_photos_db_sized_photo_5.png,Coleus Flowers_P6221910_photos_db_sized_photo_5.png,C:/Program Files/Ampps/Media Display,Coleus Flowers,Picture of Coleus flowers.,Scott Short,,,,,1600x1200,1600,1200,,,,,,,,,,,,,,Beulah,Michigan,United States
"C:/Program Files/Ampps/Media Display/Drone Flyover of Buggy Ride June 15th, 2025-DJI_20250615113152_0079_D-photos_db_sized_video-8.mp4","Drone Flyover of Buggy Ride June 15th, 2025-DJI_20250615113152_0079_D-photos_db_sized_video-8.mp4",C:/Program Files/Ampps/Media Display,,,,,,2025:11:28 17:51:55-05:00,2025:11:28 22:52:00,1920x1080,1920,1080,,,,,,,,,,,,,,,,
C:/Program Files/Ampps/Media Display/Duck Couple in Winter_P3240589_photos_db_sized_photo_3.png,Duck Couple in Winter_P3240589_photos_db_sized_photo_3.png,C:/Program Files/Ampps/Media Display,Duck Couple in Winter,Duck mates in winter time.,Scott Short,,,,,1600x1200,1600,1200,,,,,,,,,,,,,,Beulah,Michigan,United States
C:/Program Files/Ampps/Media Display/Family of Herrons at Arcadia Marsh_P7202282_photos_db_sized_photo_17.png,Family of Herrons at Arcadia Marsh_P7202282_photos_db_sized_photo_17.png,C:/Program Files/Ampps/Media Display,Family of Herrons at Arcadia Marsh,Picture of a family of herrons at Arcadia Marsh,,,,,,1600x1200,1600,1200,,,,,,,,,,,,,,Arcadia,Michigan,United States
C:/Program Files/Ampps/Media Display/Family of Swans on the Lake_P8102727_photos_db_sized_photo_22.png,Family of Swans on the Lake_P8102727_photos_db_sized_photo_22.png,C:/Program Files/Ampps/Media Display,Family of Swans on the Lake,Picture of a family of swans on the lake.,Scott Short,,,,,1600x1200,1600,1200,,,,,,,,,,,,,,Beulah,Michigan,United States
C:/Program Files/Ampps/Media Display/Foggy Morning on the Lake_DJI_20250927081415_0091_D-HDR_photos_db_sized_photo_35.png,Foggy Morning on the Lake_DJI_20250927081415_0091_D-HDR_photos_db_sized_photo_35.png,C:/Program Files/Ampps/Media Display,Foggy Morning on the Lake,Picture of a foggy morning on the lake.,Scott Short,,,,,1600x1200,1600,1200,,,,,,,,,,,,,,Beulah,Michigan,United States
C:/Program Files/Ampps/Media Display/Frankfort Light in Winter-DJI_0317-photos_db_sized_video-4.mp4,Frankfort Light in Winter-DJI_0317-photos_db_sized_video-4.mp4,C:/Program Files/Ampps/Media Display,,,,,,2025:11:28 17:29:14-05:00,2025:11:28 22:29:15,1920x1080,1920,1080,,,,,,,,,,,,,,,,
C:/Program Files/Ampps/Media Display/Frankfort Lighthouse at Sunset-DJI_20250907202054_0562_D-photos_db_sized_video-14.mp4,Frankfort Lighthouse at Sunset-DJI_20250907202054_0562_D-photos_db_sized_video-14.mp4,C:/Program Files/Ampps/Media Display,,,,,,2025:11:28 18:32:39-05:00,2025:11:28 23:32:45,1920x1080,1920,1080,,,,,,,,,,,,,,,,
C:/Program Files/Ampps/Media Display/Grand Traverse Lighthouse Foghorn Shelter_P9020255_photos_db_sized_photo_31.png,Grand Traverse Lighthouse Foghorn Shelter_P9020255_photos_db_sized_photo_31.png,C:/Program Files/Ampps/Media Display,Grand Traverse Lighthouse Foghorn Shelter,Picture of the Grand Traverse Lighthouse foghorn shelter.,Scott Short,,,,,1600x1200,1600,1200,,,,,,,,,,,,,,Northport,Michigan,United States
C:/Program Files/Ampps/Media Display/Grand Traverse Lighthouse_P9020265_photos_db_sized_photo_30.png,Grand Traverse Lighthouse_P9020265_photos_db_sized_photo_30.png,C:/Program Files/Ampps/Media Display,Grand Traverse Lighthouse,Picture of Grand Traverse Lighthouse.,Scott Short,,,,,1600x1200,1600,1200,,,,,,,,,,,,,,Northport,Michigan,United States
C:/Program Files/Ampps/Media Display/Hummingbird at the Feeder_P8082625_photos_db_sized_photo_21.png,Hummingbird at the Feeder_P8082625_photos_db_sized_photo_21.png,C:/Program Files/Ampps/Media Display,Hummingbird at the Feeder,Picture of hummingbird at the feeder.,,,,,,1600x1200,1600,1200,,,,,,,,,,,,,,Beulah,Michigan,United States
C:/Program Files/Ampps/Media Display/Hummingbird Moth on Butterfly Bush Flowers_P7292475_photos_db_sized_photo_20.png,Hummingbird Moth on Butterfly Bush Flowers_P7292475_photos_db_sized_photo_20.png,C:/Program Files/Ampps/Media Display,Hummingbird Moth on Butterfly Bush Flowers,Picture of Hummingbird Moth on Butterfly Bush flowers.,Scott Short,,,,,1600x1200,1600,1200,,,,,,,,,,,,,,Beulah,Michigan,United States
C:/Program Files/Ampps/Media Display/Lilly Flowers_P6221902_photos_db_sized_photo_7.png,Lilly Flowers_P6221902_photos_db_sized_photo_7.png,C:/Program Files/Ampps/Media Display,Lilly Flowers,Picture of Lilly Flowers,Scott Short,,,,,1600x1200,1600,1200,,,,,,,,,,,,,,Beulah,Michigan,United States
C:/Program Files/Ampps/Media Display/Livesaving Station in Frankfort_DJI_20250830202221_0049_D-HDR_photos_db_sized_photo_27.png,Livesaving Station in Frankfort_DJI_20250830202221_0049_D-HDR_photos_db_sized_photo_27.png,C:/Program Files/Ampps/Media Display,Livesaving Station in Frankfort,Picture of the Livesaving Station in Frankfort.,Scott Short,,,,,1600x1200,1600,1200,,,,,,,,,,,,,,Frankfort,Michigan,United States
C:/Program Files/Ampps/Media Display/Monarch Butterfly on Butterfly Milkweed_P8300133_photos_db_sized_photo_26.png,Monarch Butterfly on Butterfly Milkweed_P8300133_photos_db_sized_photo_26.png,C:/Program Files/Ampps/Media Display,Monarch Butterfly on Butterfly Milkweed,Picture of monarch butterfly on butterfly milkweed.,Scott Short,,,,,1600x1200,1600,1200,,,,,,,,,,,,,,Arcadia,Michigan,United States
"C:/Program Files/Ampps/Media Display/More Drone Buggy Flyover June 15th, 2025-DJI_20250615113533_0080_D-photos_db_sized_video-9.mp4","More Drone Buggy Flyover June 15th, 2025-DJI_20250615113533_0080_D-photos_db_sized_video-9.mp4",C:/Program Files/Ampps/Media Display,,,,,,2025:11:28 18:09:31-05:00,2025:11:28 23:09:36,1920x1080,1920,1080,,,,,,,,,,,,,,,,
C:/Program Files/Ampps/Media Display/Moth on Butterfly Milkweed_P7202231_photos_db_sized_photo_16.png,Moth on Butterfly Milkweed_P7202231_photos_db_sized_photo_16.png,C:/Program Files/Ampps/Media Display,Moth on Butterfly Milkweed,Moth on butterfly milkweed flowers at Arcadia Marsh.,Scott Short,,,,,1600x1200,1600,1200,,,,,,,,,,,,,,Arcadia,Michigan,United States
C:/Program Files/Ampps/Media Display/Pancake Ice at the Mouth of the Betsie-DJI_20250221140336_0110_D-photos_db_sized_video-2.mp4,Pancake Ice at the Mouth of the Betsie-DJI_20250221140336_0110_D-photos_db_sized_video-2.mp4,C:/Program Files/Ampps/Media Display,,,,,,2025:11:28 17:28:41-05:00,2025:11:28 22:28:44,1920x1080,1920,1080,,,,,,,,,,,,,,,,
C:/Program Files/Ampps/Media Display/Picture of Rocks on Lake Bed on a Calm Day_P9010226_photos_db_sized_photo_29.png,Picture of Rocks on Lake Bed on a Calm Day_P9010226_photos_db_sized_photo_29.png,C:/Program Files/Ampps/Media Display,Picture of Rocks on Lake Bed on a Calm Day,Picture of rocks on the lakebed on a clam day.,Scott Short,,,,,1600x1200,1600,1200,,,,,,,,,,,,,,Cleveland Township,Michigan,United States
C:/Program Files/Ampps/Media Display/Point Betsie Lighthouse in Winter-DJI_0356-photos_db_sized_video-5.mp4,Point Betsie Lighthouse in Winter-DJI_0356-photos_db_sized_video-5.mp4,C:/Program Files/Ampps/Media Display,,,,,,2025:11:28 17:33:19-05:00,2025:11:28 22:33:23,1920x1080,1920,1080,,,,,,,,,,,,,,,,
C:/Program Files/Ampps/Media Display/Point Betsie on a Wavy Day-DJI_20250905092401_0387_D-photos_db_sized_video-11.mp4,Point Betsie on a Wavy Day-DJI_20250905092401_0387_D-photos_db_sized_video-11.mp4,C:/Program Files/Ampps/Media Display,,,,,,2025:11:28 18:19:16-05:00,2025:11:28 23:19:22,1920x1080,1920,1080,,,,,,,,,,,,,,,,
C:/Program Files/Ampps/Media Display/Point Betsie Sunny Day_DJI_20250905150029_0444_D-HDR_photos_db_sized_photo_32.png,Point Betsie Sunny Day_DJI_20250905150029_0444_D-HDR_photos_db_sized_photo_32.png,C:/Program Files/Ampps/Media Display,Point Betsie Sunny Day,Picture of Point Betsie on a sunny day.,Scott Short,,,,,1600x1200,1600,1200,,,,,,,,,,,,,,Frankfort,Michigan,United States
