"FullPath","Name","Size","Item type","Date modified","Date created","Date accessed","Attributes","Perceived type","Owner","Kind","Date taken","Rating","Title","Camera model","Dimensions","Camera maker","Program name","Total size","Computer","File extension","Filename","Space free","Bit depth","Horizontal resolution","Width","Vertical resolution","Height","Shared","Folder name","File location","Folder","Path","Type","Link status","Space used","EXIF version","Exposure bias","Exposure program","Exposure time","F-stop","Flash mode","Focal length","35mm focal length","ISO speed","Max aperture","Metering mode","Program mode","Saturation","Subject distance","White balance","Sharing status"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless\-DJI_20250619213832_0258_D-photos_db_photo-4.png","-DJI_20250619213832_0258_D-photos_db_photo-4","107 MB","PNG File","11/28/2025 5:26 PM","11/28/2025 7:04 PM","11/28/2025 8:13 PM","A","Image","BRENDANROGG16\Brend","Picture","‎6/‎19/‎2025 ‏‎9:38 PM","Unrated","default","FC9113","‪8192 x 6144‬","DJI","Adobe Photoshop Lightroom Classic 15.0.1 (Windows)","1.83 TB","BRENDANROGG16 (this PC)",".png","-DJI_20250619213832_0258_D-photos_db_photo-4","1.48 TB","48","‎300 dpi","‎8192 pixels","‎300 dpi","‎6144 pixels","No","Photos Full Resolution Logoless","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless","Photos Full Resolution Logoless (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless\-DJI_20250619213832_0258_D-photos_db_photo-4.png","PNG File","Unresolved","‎18%","0231","‎0 step","Normal","‎1/50 sec.","f/1.8","No flash","‎9 mm","24","ISO-140","1.7","Average","Normal program","Normal","‎0 mm","Auto","Private"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless\Bird's Eye View of Bohemian Lavender Farm-DJI_20250713134902_0441_D-HDR-2-photos_db_photo-13.png","Bird's Eye View of Bohemian Lavender Farm-DJI_20250713134902_0441_D-HDR-2-photos_db_photo-13","13.9 MB","PNG File","11/28/2025 5:25 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Image","BRENDANROGG16\Brend","Picture",,"Unrated","Bird's Eye View of Bohemian Lavender Farm",,"‪2048 x 1536‬",,"Adobe Photoshop Lightroom Classic 15.0.1 (Windows)","1.83 TB","BRENDANROGG16 (this PC)",".png","Bird's Eye View of Bohemian Lavender Farm-DJI_20250713134902_0441_D-HDR-2-photos_db_photo-13","1.48 TB","48","‎300 dpi","‎2048 pixels","‎300 dpi","‎1536 pixels","No","Photos Full Resolution Logoless","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless","Photos Full Resolution Logoless (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless\Bird's Eye View of Bohemian Lavender Farm-DJI_20250713134902_0441_D-HDR-2-photos_db_photo-13.png","PNG File","Unresolved","‎18%","0231",,,,,,,,,,,,,,,"Private"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless\Bird's Eye View of Manistee-DJI_20250628172944_0726_D-HDR-photos_db_photo-11.png","Bird's Eye View of Manistee-DJI_20250628172944_0726_D-HDR-photos_db_photo-11","172 MB","PNG File","11/28/2025 5:25 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Image","BRENDANROGG16\Brend","Picture",,"5 Stars","Bird's Eye View of Manistee",,"‪8166 x 6125‬",,"Adobe Photoshop Lightroom Classic 15.0.1 (Windows)","1.83 TB","BRENDANROGG16 (this PC)",".png","Bird's Eye View of Manistee-DJI_20250628172944_0726_D-HDR-photos_db_photo-11","1.48 TB","48","‎300 dpi","‎8166 pixels","‎300 dpi","‎6125 pixels","No","Photos Full Resolution Logoless","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless","Photos Full Resolution Logoless (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless\Bird's Eye View of Manistee-DJI_20250628172944_0726_D-HDR-photos_db_photo-11.png","PNG File","Unresolved","‎18%","0231",,,,,,,,,,,,,,,"Private"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless\Bird's Eye View of the Neighborhood-DJI_20250622150721_0379_D-HDR-photos_db_photo-10.png","Bird's Eye View of the Neighborhood-DJI_20250622150721_0379_D-HDR-photos_db_photo-10","200 MB","PNG File","11/28/2025 5:25 PM","11/28/2025 7:04 PM","11/28/2025 8:13 PM","A","Image","BRENDANROGG16\Brend","Picture",,"Unrated","Bird's Eye View of the Neighborhood",,"‪8165 x 6124‬",,"Adobe Photoshop Lightroom Classic 15.0.1 (Windows)","1.83 TB","BRENDANROGG16 (this PC)",".png","Bird's Eye View of the Neighborhood-DJI_20250622150721_0379_D-HDR-photos_db_photo-10","1.48 TB","48","‎300 dpi","‎8165 pixels","‎300 dpi","‎6124 pixels","No","Photos Full Resolution Logoless","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless","Photos Full Resolution Logoless (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless\Bird's Eye View of the Neighborhood-DJI_20250622150721_0379_D-HDR-photos_db_photo-10.png","PNG File","Unresolved","‎18%","0231",,,,,,,,,,,,,,,"Private"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless\Blood Moon Closeup-P3140252-Enhanced-SR-photos_db_photo-1.png","Blood Moon Closeup-P3140252-Enhanced-SR-photos_db_photo-1","37.6 MB","PNG File","11/28/2025 5:25 PM","11/28/2025 7:04 PM","11/28/2025 8:13 PM","A","Image","BRENDANROGG16\Brend","Picture","‎3/‎14/‎2025 ‏‎2:02 AM","Unrated","Blood Moon Closeup","OM-5","‪6805 x 5444‬","OM Digital Solutions","Adobe Photoshop Lightroom Classic 15.0.1 (Windows)","1.83 TB","BRENDANROGG16 (this PC)",".png","Blood Moon Closeup-P3140252-Enhanced-SR-photos_db_photo-1","1.48 TB","48","‎300 dpi","‎6805 pixels","‎300 dpi","‎5444 pixels","No","Photos Full Resolution Logoless","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless","Photos Full Resolution Logoless (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless\Blood Moon Closeup-P3140252-Enhanced-SR-photos_db_photo-1.png","PNG File","Unresolved","‎18%","0231","‎+1 step","Aperture Priority","‎4 sec.","f/6.3","No flash, compulsory","‎400 mm","801","ISO-200","4.64453125","Pattern","Aperture priority","Normal",,"Auto","Private"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless\Blood Moon-DJI_20250908205852_0722_D-photos_db_photo-33.png","Blood Moon-DJI_20250908205852_0722_D-photos_db_photo-33","184 MB","PNG File","11/28/2025 5:26 PM","11/28/2025 7:04 PM","11/28/2025 8:13 PM","A","Image","BRENDANROGG16\Brend","Picture",,"Unrated","Blood Moon",,"‪8064 x 6048‬",,"Adobe Photoshop Lightroom Classic 15.0.1 (Windows)","1.83 TB","BRENDANROGG16 (this PC)",".png","Blood Moon-DJI_20250908205852_0722_D-photos_db_photo-33","1.48 TB","48","‎300 dpi","‎8064 pixels","‎300 dpi","‎6048 pixels","No","Photos Full Resolution Logoless","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless","Photos Full Resolution Logoless (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless\Blood Moon-DJI_20250908205852_0722_D-photos_db_photo-33.png","PNG File","Unresolved","‎18%","0231",,,,,,,,,,,,,,,"Private"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless\Bumble Bee Sampling Lavender-P7132118-photos_db_photo-12.png","Bumble Bee Sampling Lavender-P7132118-photos_db_photo-12","8.98 MB","PNG File","11/28/2025 5:25 PM","11/28/2025 7:04 PM","11/28/2025 8:13 PM","A","Image","BRENDANROGG16\Brend","Picture",,"Unrated","Bumble Bee Sampling Lavender",,"‪1853 x 1390‬",,"Adobe Photoshop Lightroom Classic 15.0.1 (Windows)","1.83 TB","BRENDANROGG16 (this PC)",".png","Bumble Bee Sampling Lavender-P7132118-photos_db_photo-12","1.48 TB","48","‎300 dpi","‎1853 pixels","‎300 dpi","‎1390 pixels","No","Photos Full Resolution Logoless","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless","Photos Full Resolution Logoless (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless\Bumble Bee Sampling Lavender-P7132118-photos_db_photo-12.png","PNG File","Unresolved","‎18%","0231",,,,,,,,,,,,,,,"Private"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless\Classic Ford Mustang-P9130783-photos_db_photo-34.png","Classic Ford Mustang-P9130783-photos_db_photo-34","79.2 MB","PNG File","11/28/2025 5:26 PM","11/28/2025 7:04 PM","11/28/2025 8:13 PM","A","Image","BRENDANROGG16\Brend","Picture",,"Unrated","Classic Ford Mustang",,"‪5184 x 3888‬",,"Adobe Photoshop Lightroom Classic 15.0.1 (Windows)","1.83 TB","BRENDANROGG16 (this PC)",".png","Classic Ford Mustang-P9130783-photos_db_photo-34","1.48 TB","48","‎300 dpi","‎5184 pixels","‎300 dpi","‎3888 pixels","No","Photos Full Resolution Logoless","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless","Photos Full Resolution Logoless (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless\Classic Ford Mustang-P9130783-photos_db_photo-34.png","PNG File","Unresolved","‎18%","0231",,,,,,,,,,,,,,,"Private"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless\Closeup Cardinal In Winter-P3160548-photos_db_photo-2.png","Closeup Cardinal In Winter-P3160548-photos_db_photo-2","21.1 MB","PNG File","11/28/2025 5:25 PM","11/28/2025 7:04 PM","11/28/2025 8:13 PM","A","Image","BRENDANROGG16\Brend","Picture","‎3/‎16/‎2025 ‏‎11:47 AM","Unrated","Closeup Cardinal In Winter","OM-5","‪3200 x 2400‬","OM Digital Solutions","Adobe Photoshop Lightroom Classic 15.0.1 (Windows)","1.83 TB","BRENDANROGG16 (this PC)",".png","Closeup Cardinal In Winter-P3160548-photos_db_photo-2","1.48 TB","48","‎300 dpi","‎3200 pixels","‎300 dpi","‎2400 pixels","No","Photos Full Resolution Logoless","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless","Photos Full Resolution Logoless (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless\Closeup Cardinal In Winter-P3160548-photos_db_photo-2.png","PNG File","Unresolved","‎18%","0231","‎0 step","Normal","‎1/3200 sec.","f/6.3",,"‎400 mm","801","ISO-2500","4.64453125","Pattern","Normal program","Normal",,"Auto","Private"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless\Closeup of Herron at Arcadia Marsh 2-P8300146-photos_db_photo-25.png","Closeup of Herron at Arcadia Marsh 2-P8300146-photos_db_photo-25","75.3 MB","PNG File","11/28/2025 5:25 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Image","BRENDANROGG16\Brend","Picture",,"Unrated","Closeup of Herron at Arcadia Marsh 2",,"‪5184 x 3888‬",,"Adobe Photoshop Lightroom Classic 15.0.1 (Windows)","1.83 TB","BRENDANROGG16 (this PC)",".png","Closeup of Herron at Arcadia Marsh 2-P8300146-photos_db_photo-25","1.48 TB","48","‎300 dpi","‎5184 pixels","‎300 dpi","‎3888 pixels","No","Photos Full Resolution Logoless","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless","Photos Full Resolution Logoless (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Photos Full Resolution Logoless\Closeup of Herron at Arcadia Marsh 2-P8300146-photos_db_photo-25.png","PNG File","Unresolved","‎18%","0231",,,,,,,,,,,,,,,"Private"
