"FullPath","Name","Size","Item type","Date modified","Date created","Date accessed","Attributes","Perceived type","Owner","Kind","Rating","Length","Bit rate","Protected","Total size","Computer","File extension","Filename","Space free","Shared","Folder name","File location","Folder","Path","Type","Link status","Media created","Space used","Sharing status","Video compression","Data rate","Frame height","Frame rate","Frame width","Spherical","Stereo","Video orientation","Total bitrate"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless\Bear at the Birdfeeder-2025-06-19-21-46-19-photos_db_video-1.mp4","Bear at the Birdfeeder-2025-06-19-21-46-19-photos_db_video-1","17.4 MB","MP4 File","11/28/2025 5:27 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Video","BRENDANROGG16\Brend","Video","Unrated","00:00:40","‎254kbps","No","1.83 TB","BRENDANROGG16 (this PC)",".mp4","Bear at the Birdfeeder-2025-06-19-21-46-19-photos_db_video-1","1.48 TB","No","Videos Full Resolution Logoless","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless","Videos Full Resolution Logoless (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless\Bear at the Birdfeeder-2025-06-19-21-46-19-photos_db_video-1.mp4","MP4 File","Unresolved","‎11/‎28/‎2025 ‏‎5:27 PM","‎18%","Private","{34363248-0000-0010-8000-00AA00389B71}","‎3399kbps","720","‎24.00 frames/second","1280","No","No","0","‎3653kbps"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless\Brendan Playing with Tater at the Sandbar-DJI_20250807180534_0565_D-photos_db_video-10.mp4","Brendan Playing with Tater at the Sandbar-DJI_20250807180534_0565_D-photos_db_video-10","79.0 MB","MP4 File","11/28/2025 6:17 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Video","BRENDANROGG16\Brend","Video","Unrated","00:00:27","‎186kbps","No","1.83 TB","BRENDANROGG16 (this PC)",".mp4","Brendan Playing with Tater at the Sandbar-DJI_20250807180534_0565_D-photos_db_video-10","1.48 TB","No","Videos Full Resolution Logoless","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless","Videos Full Resolution Logoless (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless\Brendan Playing with Tater at the Sandbar-DJI_20250807180534_0565_D-photos_db_video-10.mp4","MP4 File","Unresolved","‎11/‎28/‎2025 ‏‎6:16 PM","‎18%","Private","{34363248-0000-0010-8000-00AA00389B71}","‎23463kbps","2160","‎59.94 frames/second","3840","No","No","0","‎23650kbps"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless\Bricks Classic Car Show Flyover-DJI_20250607161031_0356_D-photos_db_video-6.mp4","Bricks Classic Car Show Flyover-DJI_20250607161031_0356_D-photos_db_video-6","166 MB","MP4 File","11/28/2025 5:33 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Video","BRENDANROGG16\Brend","Video","Unrated","00:00:57","‎189kbps","No","1.83 TB","BRENDANROGG16 (this PC)",".mp4","Bricks Classic Car Show Flyover-DJI_20250607161031_0356_D-photos_db_video-6","1.48 TB","No","Videos Full Resolution Logoless","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless","Videos Full Resolution Logoless (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless\Bricks Classic Car Show Flyover-DJI_20250607161031_0356_D-photos_db_video-6.mp4","MP4 File","Unresolved","‎11/‎28/‎2025 ‏‎5:29 PM","‎18%","Private","{34363248-0000-0010-8000-00AA00389B71}","‎23895kbps","2160","‎59.94 frames/second","3840","No","No","0","‎24084kbps"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless\Drone Flyover of Buggy Ride June 15th, 2025-DJI_20250615113152_0079_D-photos_db_video-8.mp4","Drone Flyover of Buggy Ride June 15th, 2025-DJI_20250615113152_0079_D-photos_db_video-8","494 MB","MP4 File","11/28/2025 5:51 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Video","BRENDANROGG16\Brend","Video","Unrated","00:02:51","‎189kbps","No","1.83 TB","BRENDANROGG16 (this PC)",".mp4","Drone Flyover of Buggy Ride June 15th, 2025-DJI_20250615113152_0079_D-photos_db_video-8","1.48 TB","No","Videos Full Resolution Logoless","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless","Videos Full Resolution Logoless (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless\Drone Flyover of Buggy Ride June 15th, 2025-DJI_20250615113152_0079_D-photos_db_video-8.mp4","MP4 File","Unresolved","‎11/‎28/‎2025 ‏‎5:40 PM","‎18%","Private","{34363248-0000-0010-8000-00AA00389B71}","‎23937kbps","2160","‎59.94 frames/second","3840","No","No","0","‎24126kbps"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless\Frankfort Light in Winter-DJI_0317-photos_db_video-4.mp4","Frankfort Light in Winter-DJI_0317-photos_db_video-4","29.5 MB","MP4 File","11/28/2025 5:29 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Video","BRENDANROGG16\Brend","Video","Unrated","00:00:11","‎262kbps","No","1.83 TB","BRENDANROGG16 (this PC)",".mp4","Frankfort Light in Winter-DJI_0317-photos_db_video-4","1.48 TB","No","Videos Full Resolution Logoless","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless","Videos Full Resolution Logoless (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless\Frankfort Light in Winter-DJI_0317-photos_db_video-4.mp4","MP4 File","Unresolved","‎11/‎28/‎2025 ‏‎5:29 PM","‎18%","Private","{34363248-0000-0010-8000-00AA00389B71}","‎22226kbps","1080","‎29.97 frames/second","1920","No","No","0","‎22489kbps"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless\Frankfort Lighthouse at Sunset-DJI_20250907202054_0562_D-photos_db_video-14.mp4","Frankfort Lighthouse at Sunset-DJI_20250907202054_0562_D-photos_db_video-14","87.4 MB","MP4 File","11/28/2025 6:32 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Video","BRENDANROGG16\Brend","Video","Unrated","00:00:30","‎191kbps","No","1.83 TB","BRENDANROGG16 (this PC)",".mp4","Frankfort Lighthouse at Sunset-DJI_20250907202054_0562_D-photos_db_video-14","1.48 TB","No","Videos Full Resolution Logoless","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless","Videos Full Resolution Logoless (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless\Frankfort Lighthouse at Sunset-DJI_20250907202054_0562_D-photos_db_video-14.mp4","MP4 File","Unresolved","‎11/‎28/‎2025 ‏‎6:30 PM","‎18%","Private","{34363248-0000-0010-8000-00AA00389B71}","‎24232kbps","2160","‎59.94 frames/second","3840","No","No","0","‎24423kbps"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless\More Drone Buggy Flyover June 15th, 2025-DJI_20250615113533_0080_D-photos_db_video-9.mp4","More Drone Buggy Flyover June 15th, 2025-DJI_20250615113533_0080_D-photos_db_video-9","575 MB","MP4 File","11/28/2025 6:09 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Video","BRENDANROGG16\Brend","Video","Unrated","00:03:19","‎189kbps","No","1.83 TB","BRENDANROGG16 (this PC)",".mp4","More Drone Buggy Flyover June 15th, 2025-DJI_20250615113533_0080_D-photos_db_video-9","1.48 TB","No","Videos Full Resolution Logoless","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless","Videos Full Resolution Logoless (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless\More Drone Buggy Flyover June 15th, 2025-DJI_20250615113533_0080_D-photos_db_video-9.mp4","MP4 File","Unresolved","‎11/‎28/‎2025 ‏‎5:56 PM","‎18%","Private","{34363248-0000-0010-8000-00AA00389B71}","‎23961kbps","2160","‎59.94 frames/second","3840","No","No","0","‎24150kbps"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless\Pancake Ice at the Mouth of the Betsie-DJI_20250221140336_0110_D-photos_db_video-2.mp4","Pancake Ice at the Mouth of the Betsie-DJI_20250221140336_0110_D-photos_db_video-2","67.0 MB","MP4 File","11/28/2025 5:28 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Video","BRENDANROGG16\Brend","Video","Unrated","00:00:23","‎192kbps","No","1.83 TB","BRENDANROGG16 (this PC)",".mp4","Pancake Ice at the Mouth of the Betsie-DJI_20250221140336_0110_D-photos_db_video-2","1.48 TB","No","Videos Full Resolution Logoless","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless","Videos Full Resolution Logoless (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless\Pancake Ice at the Mouth of the Betsie-DJI_20250221140336_0110_D-photos_db_video-2.mp4","MP4 File","Unresolved","‎11/‎28/‎2025 ‏‎5:27 PM","‎18%","Private","{34363248-0000-0010-8000-00AA00389B71}","‎24257kbps","2160","‎59.94 frames/second","3840","No","No","0","‎24450kbps"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless\Point Betsie Lighthouse in Winter-DJI_0356-photos_db_video-5.mp4","Point Betsie Lighthouse in Winter-DJI_0356-photos_db_video-5","109 MB","MP4 File","11/28/2025 5:35 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Video","BRENDANROGG16\Brend","Video","Unrated","00:00:37","‎189kbps","No","1.83 TB","BRENDANROGG16 (this PC)",".mp4","Point Betsie Lighthouse in Winter-DJI_0356-photos_db_video-5","1.48 TB","No","Videos Full Resolution Logoless","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless","Videos Full Resolution Logoless (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless\Point Betsie Lighthouse in Winter-DJI_0356-photos_db_video-5.mp4","MP4 File","Unresolved","‎11/‎28/‎2025 ‏‎5:34 PM","‎18%","Private","{34363248-0000-0010-8000-00AA00389B71}","‎23883kbps","2160","‎29.97 frames/second","3840","No","No","0","‎24072kbps"
"C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless\Point Betsie on a Wavy Day-DJI_20250905092401_0387_D-photos_db_video-11.mp4","Point Betsie on a Wavy Day-DJI_20250905092401_0387_D-photos_db_video-11","63.3 MB","MP4 File","11/28/2025 6:19 PM","11/28/2025 7:04 PM","11/28/2025 8:08 PM","A","Video","BRENDANROGG16\Brend","Video","Unrated","00:00:22","‎189kbps","No","1.83 TB","BRENDANROGG16 (this PC)",".mp4","Point Betsie on a Wavy Day-DJI_20250905092401_0387_D-photos_db_video-11","1.48 TB","No","Videos Full Resolution Logoless","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless","Videos Full Resolution Logoless (C:\Users\Brend\Documents\Database Project Repository\Database-Project)","C:\Users\Brend\Documents\Database Project Repository\Database-Project\Videos Full Resolution Logoless\Point Betsie on a Wavy Day-DJI_20250905092401_0387_D-photos_db_video-11.mp4","MP4 File","Unresolved","‎11/‎28/‎2025 ‏‎6:17 PM","‎18%","Private","{34363248-0000-0010-8000-00AA00389B71}","‎23936kbps","2160","‎59.94 frames/second","3840","No","No","0","‎24125kbps"
